Track,Artist
Labon Ko,"Pritam, KK"
this is what space feels like,JVKE
this is what autumn feels like,JVKE
Moner Manush,"Anupam Roy, Satyaki Banerjee, Babul Supriyo"
Majhe Majhe Tobo,Arindom
Ikk Kudi,"Amit Trivedi, Shahid Mallya"
Neshar Bojha,Apurbo Karmokar
Iris,The Goo Goo Dolls
Apocalypse,Cigarettes After Sex
About You,Maninder Buttar
Neel Rang Bhison Priyo - Sedino Chhilo,Rupam Islam
Ilahi,"Pritam, Arijit Singh"
Sanam Re,"Mithoon, Arijit Singh"
Aye Khuda,Salim Merchant
Gumaan,"Young Stunners, Talha Anjum, Talhah Yunus"
Oniket Prantor,Artcell
Bahu Manaratha,Subhamita Banerjee
Aaro Ekbar,"Rupam Islam, Fossils"
Porijayee Pakhi (Acoustic),Taalpatar Shepai
Bandhu Re,Cactus
Sang Hoon Tere,Bhuvan Bam
Rubaru,"Vishal Mishra, Asees Kaur"
Tumse Mohabbat Hai,"JalRaj, Smriti Thakur"
Bhindeshi Tara,Chandrabindoo
Dil Aakhir Tu Kyun Rota Hai,Farhan Akhtar
"Saagar Jaisi Aankhonwali - From ""Saagar""","Kishore Kumar, R. D. Burman"
"Humnava (From ""Hamari Adhuri Kahani"")","Mithoon, Papon"
Bheegi Bheegi Raton Mein,"Adnan Sami, Asha Bhosle"
Dil To Bachcha Hai,Rahat Fateh Ali Khan
Bhrom,Karnival
Jo Bhi Main,Mohit Chauhan
Faasle,Anand Bhaskar Collective
Tomake Male,Arko
Amaro Porano Jaha Chay,Rishi Panda
Amaro Porano Jaha Chay,Raj Barman
Tomay Hrid Majhare Rakhbo,Borno Chakroborty
Give Me Some Sunshine,"Suraj Jagan, Sharman Joshi"
Halud Pakhi,Cactus
Premika Ne Pyar Se,"S. P. Balasubrahmanyam, Udit Narayan, S.P. Pallavi"
Sukoon Mila,Arijit Singh
Tera Hi Rahun,Gajendra Verma
Meri Bheegi Bheegi Si,"Kishore Kumar, R. D. Burman"
"Kiska Rasta Dekhe - From ""Joshila""","Kishore Kumar, R. D. Burman"
"Ye Kaali Kaali Aankhen (From ""Baazigar"")","Kumar Sanu, Anu Malik"
Tadow,"Masego, FKJ"
Navajo,Masego
Flight 99,"Ta-ku, matt mcwaters, Masego"
Meri Banogi Kya,"Rito Riba, Rajat Nagpal"
Ei Obelay,Shironamhin
Alote Chol,Debayan Banerjee
Tu Chahiye,"Pritam, Atif Aslam"
Bhar Do Jholi Meri,"Pritam, Adnan Sami"
Bhar Do Jholi Meri (Reprise),"Pritam, Imran Aziz Mian"
Yeh Fitoor Mera,"Amit Trivedi, Arijit Singh"
Dhoro Jodi Hothat Sondhye,Spandan Bhattacharya
Ghar,Bharat Chauhan
Medley: Kehna Galat Galat / Halka Halka Suroor,"Madhur Sharma, Nusrat Fateh Ali Khan"
Bécane - A COLORS SHOW,Yamê
Everybody Wants To Rule The World,Tears For Fears
Tere Hoke Rahengay,Arijit Singh
Keno Roder Moto Hashle Na,Sohan Rahman
GUY.exe,Superfruit
Television / So Far So Good,Rex Orange County
Pano,Zack Tabudlo
Heartbreak Anniversary,Giveon
Shouldn't Be,Luke Chiang
Ain't No Sunshine,Bill Withers
Malang Sajna - Jamming Version,"Sachet Tandon, Parampara Tandon, Kumaar"
i like the way you kiss me,Artemas
Baarish Ka Asar,Twin Strings
Madhubala,Amit Trivedi
Hai Kya Tadap (Unplugged),Prashant Katheriya
Ajj Din Chadheya,Arshman Naeem
Tu hai kahan - Female Reply,"Shuddhi, Qwes Kross, Aadil Rizvi"
Notion,The Rare Occasions
Ishq Kiya,Abhishek Bhatt
Prithibi Ta Naki Chhoto Hote Hote,Crosswinds
Shudhu Tomakei Bhalobese,Nilanjan Ghosal
Теряю смысл ну и пусть,M4ND4RIN BE4TS PRODUCTION
Nahin Milta,Bayaan
Kho Gaye,"Taaruk Raina, Mismatched - Cast"
So Gaya Yeh Jahan,"Nitin Mukesh, Alka Yagnik, Shabbir Kumar"
Somethin' Stupid,"Frank Sinatra, Nancy Sinatra"
Lake Missoula,Richy Mitch & The Coal Miners
Mr. Feel,John Michael Howell
I See Red,Everybody Loves an Outlaw
Can You Feel My Heart,Bring Me The Horizon
Sweater Weather,The Neighbourhood
Arcade,Duncan Laurence
Desire - Slowed,Hucci
Oi Janalar Kache,Taalpatar Shepai
Je Kawta Din (Reprise),"Anupam Roy, Iman Chakraborty"
Forever Young,Alphaville
Chandelier,Will Paquin
Shut up My Moms Calling,Hotel Ugly
Telephones,Vacations
Ebhabei Tumi Boro Hoyo,"Rupam Islam, Srijita Mitra"
Raikamal,"Chakropani Dev, Debdeep Banik, Swadesh Misra, Tamalika Golder"
Aaj Bhi,Vishal Mishra
blue,yung kai
BIRDS OF A FEATHER,Billie Eilish
Goodbye My Baby,Jace June
her,JVKE
baby,"Takayoshi, Haruka"
infinity,asumuh
In The Morning,Rocco
loml,"Sarah Kang, HOHYUN"
You & I,Diego Gonzalez
Shikayat,AUR
Sanam Teri Kasam,"Ankit Tiwari, Palak Muchhal"
Pherari Mon,"Shreya Ghoshal, Babul Supriyo"
Khamoshiyan,"Jeet Gannguli, Arijit Singh"
Dil To Bachcha Hai,Rahat Fateh Ali Khan
Guzarish,Javed Ali
Bhalolaage Tomake,"Arijit Singh, Annwesha"
Mere Dholna,"Pritam, Shreya Ghoshal, M. G. Sreekumar"
Beggin',Måneskin
I WANNA BE YOUR SLAVE,Måneskin
